L2_LoginID,L2_Operator_Performance,L2_Operator_Performance_Count
1805,Bad,956
1805,Normal,75
1805,Excellent,47
1805,Good,24
1985,Bad,9225
1985,Excellent,3915
1985,Good,1197
1985,Normal,437
2000,Bad,6
2250,Bad,779
2250,Normal,50
2250,Excellent,33
2250,Good,25
2918,Bad,10499
2918,Normal,403
2918,Excellent,313
2918,Good,132
2927,Bad,2273
2927,Normal,143
2927,Excellent,115
2927,Good,70
4118,Bad,331
4118,Excellent,32
4118,Normal,32
4118,Good,26
4121,Bad,392
4121,Normal,31
4121,Excellent,29
4121,Good,17
4123,Bad,18067
4123,Excellent,3487
4123,Good,1207
4123,Normal,1058
4130,Bad,26
4130,Normal,2
4130,Excellent,1
4218,Bad,23402
4218,Excellent,5662
4218,Good,1680
4218,Normal,1344
4226,Bad,1312
4226,Excellent,290
4226,Good,104
4226,Normal,59
4227,Bad,1
4228,Bad,7706
4228,Excellent,623
4228,Normal,455
4228,Good,346
4402,Bad,2089
4402,Normal,141
4402,Excellent,41
4402,Good,30
4442,Bad,3
4442,Excellent,2
4443,Bad,7
4443,Excellent,3
4443,Good,1
4445,Bad,141
4445,Excellent,50
4445,Good,12
4445,Normal,3
4447,Bad,6008
4447,Excellent,4609
4447,Good,752
4447,Normal,317
4463,Bad,3086
4463,Excellent,263
4463,Normal,133
4463,Good,105
4703,Bad,1056
4703,Excellent,513
4703,Good,140
4703,Normal,61
5093,Bad,178
5093,Excellent,11
5093,Good,8
5093,Normal,7
5525,Bad,5930
5525,Excellent,716
5525,Normal,320
5525,Good,306
5531,Bad,23733
5531,Excellent,11272
5531,Good,2275
5531,Normal,1298
5554,Bad,551
5554,Normal,26
5554,Good,12
5554,Excellent,9
5581,Bad,150
5581,Excellent,25
5581,Normal,8
5581,Good,7
5944,Bad,16189
5944,Excellent,2988
5944,Good,958
5944,Normal,926
6320,Bad,898
6320,Normal,68
6320,Excellent,64
6320,Good,21
9000,Excellent,33
9000,Bad,12
9000,Good,2
9000,Normal,1
17905,Bad,3922
17905,Excellent,509
17905,Good,258
17905,Normal,243
18183,Bad,8847
18183,Excellent,6480
18183,Good,1189
18183,Normal,447
19161,Bad,7767
19161,Normal,496
19161,Excellent,470
19161,Good,235
25432,Bad,671
25432,Normal,42
25432,Excellent,41
25432,Good,21
29525,Bad,9996
29525,Excellent,2278
29525,Good,902
29525,Normal,579
30921,Bad,18601
30921,Excellent,9560
30921,Good,2253
30921,Normal,997
30925,Bad,15645
30925,Excellent,13349
30925,Good,2506
30925,Normal,825
31224,Bad,5923
31224,Excellent,2498
31224,Good,569
31224,Normal,309
31225,Bad,24001
31225,Excellent,13166
31225,Good,2974
31225,Normal,1250
31230,Bad,10214
31230,Excellent,4020
31230,Good,773
31230,Normal,610
31388,Bad,12549
31388,Excellent,2091
31388,Normal,788
31388,Good,644
