,L2_LoginID,L2_Decision,L2_Decision_Count
0,1805,Accept,1020
1,1805,Reject,97
2,1805,Time out,4
3,1985,Accept,10815
4,1985,Reject,4381
5,1985,Time out,136
6,2000,Reject,4
7,2000,Time out,2
8,2250,Accept,866
9,2250,Reject,94
10,2250,Time out,27
11,2918,Accept,11546
12,2918,Reject,5840
13,2918,Time out,476
14,2927,Accept,2377
15,2927,Reject,323
16,2927,Time out,49
17,4118,Accept,381
18,4118,Reject,53
19,4118,Time out,15
20,4121,Accept,424
21,4121,Reject,48
22,4121,Time out,7
23,4123,Accept,15763
24,4123,Reject,8407
25,4123,Time out,1409
26,4130,Reject,30
27,4130,Time out,5
28,4130,Accept,4
29,4218,Accept,28555
30,4218,Reject,5129
31,4218,Time out,53
32,4226,Accept,1665
33,4226,Reject,131
34,4226,Time out,32
35,4227,Reject,1
36,4228,Accept,7322
37,4228,Reject,2712
38,4228,Time out,307
39,4402,Accept,2000
40,4402,Reject,517
41,4402,Time out,104
42,4442,Reject,3
43,4442,Accept,2
44,4443,Accept,8
45,4443,Reject,3
46,4445,Accept,198
47,4445,Reject,13
48,4445,Time out,1
49,4447,Accept,9939
50,4447,Reject,1961
51,4447,Time out,85
52,4463,Reject,1717
53,4463,Accept,1480
54,4463,Time out,861
55,4703,Accept,1713
56,4703,Reject,71
57,4703,Time out,7
58,5093,Accept,200
59,5093,Reject,11
60,5525,Accept,6007
61,5525,Reject,1285
62,5525,Time out,618
63,5531,Accept,34938
64,5531,Reject,4797
65,5531,Time out,1086
66,5554,Accept,502
67,5554,Reject,187
68,5554,Time out,24
69,5581,Accept,168
70,5581,Reject,16
71,5581,Time out,12
72,5944,Accept,18344
73,5944,Reject,4442
74,5944,Time out,360
75,6320,Accept,1023
76,6320,Reject,126
77,6320,Time out,8
78,9000,Time out,30
79,9000,Reject,16
80,9000,Accept,2
81,17905,Accept,4221
82,17905,Reject,737
83,17905,Time out,93
84,18183,Accept,13622
85,18183,Reject,3561
86,18183,Time out,79
87,19161,Accept,7130
88,19161,Reject,2417
89,19161,Time out,89
90,25432,Accept,613
91,25432,Reject,181
92,25432,Time out,29
93,29525,Accept,11675
94,29525,Reject,2477
95,29525,Time out,38
96,30921,Accept,30843
97,30921,Reject,1017
98,30921,Time out,92
99,30925,Accept,26113
100,30925,Reject,6437
101,30925,Time out,30
102,31224,Accept,6534
103,31224,Reject,2847
104,31224,Time out,311
105,31225,Accept,38506
106,31225,Reject,3223
107,31225,Time out,392
108,31230,Accept,10023
109,31230,Reject,6089
110,31230,Time out,377
111,31388,Accept,12887
112,31388,Reject,3552
113,31388,Time out,864
114,31859,Accept,522
115,31859,Reject,422
116,31859,Time out,68
117,31893,Accept,1332
118,31893,Reject,260
119,31893,Time out,42
120,32149,Accept,18533
121,32149,Reject,9543
122,32149,Time out,1770
123,32153,Accept,32629
124,32153,Reject,4194
125,32153,Time out,38
126,32399,Accept,8987
127,32399,Reject,2118
128,32399,Time out,134
129,32401,Accept,7088
130,32401,Reject,674
131,32401,Time out,83
132,32644,Accept,27619
133,32644,Reject,5477
134,32644,Time out,227
135,32646,Accept,8765
136,32646,Reject,2909
137,32646,Time out,100
138,32648,Accept,12019
139,32648,Reject,4556
140,32648,Time out,1427
141,32650,Accept,9407
142,32650,Reject,3559
143,32650,Time out,364
144,32651,Accept,15306
145,32651,Reject,2104
146,32651,Time out,190
147,32652,Accept,34414
148,32652,Reject,7861
149,32652,Time out,222
150,32654,Accept,26027
151,32654,Reject,2881
152,32654,Time out,96
153,32656,Accept,4312
154,32656,Reject,741
155,32656,Time out,209
156,32657,Accept,3055
157,32657,Reject,314
158,32657,Time out,14
159,32659,Accept,11787
160,32659,Reject,1330
161,32659,Time out,28
162,32661,Accept,14432
163,32661,Reject,1137
164,32661,Time out,406
165,32662,Accept,2389
166,32662,Reject,247
167,32662,Time out,22
168,32663,Accept,16939
169,32663,Reject,4996
170,32663,Time out,1585
171,32792,Accept,5138
172,32792,Reject,2672
173,32792,Time out,1192
174,32797,Accept,4615
175,32797,Reject,1581
176,32797,Time out,281
177,32876,Accept,17796
178,32876,Reject,2355
179,32876,Time out,59
180,32878,Accept,16644
181,32878,Reject,2478
182,32878,Time out,246
183,32880,Accept,16437
184,32880,Reject,1350
185,32880,Time out,880
186,32883,Accept,16179
187,32883,Reject,1545
188,32883,Time out,103
189,32887,Accept,11419
190,32887,Reject,4209
191,32887,Time out,893
192,32889,Accept,6664
193,32889,Reject,491
194,32889,Time out,42
195,33326,Accept,15460
196,33326,Reject,3678
197,33326,Time out,237
198,33644,Accept,1692
199,33644,Reject,478
200,33644,Time out,48
201,33646,Accept,4572
202,33646,Reject,735
203,33646,Time out,132
204,33647,Accept,9616
205,33647,Reject,3566
206,33647,Time out,627
207,33686,Accept,4808
208,33686,Reject,715
209,33686,Time out,182
210,33687,Accept,8844
211,33687,Reject,1672
212,33687,Time out,92
213,33688,Accept,8473
214,33688,Reject,2488
215,33688,Time out,164
216,33769,Accept,10581
217,33769,Reject,1822
218,33769,Time out,297
219,33772,Accept,1059
220,33772,Reject,177
221,33772,Time out,27
222,33775,Accept,691
223,33775,Reject,393
224,33775,Time out,7
225,33776,Accept,16100
226,33776,Reject,2651
227,33776,Time out,50
228,34243,Accept,8217
